index,A,A_s,B,B_s
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,-0.142857143
37,0,0,0,-0.285714286
38,0,0,0,-0.428571429
39,0,0,0,-0.571428571
40,0,0,0,-0.714285714
41,0,0,0,-0.857142857
42,0,0,0,-1
43,0,0,0,-0.857142857
44,0,0,-0.066914558,-0.714285714
45,0,0,-0.265222822,-0.571428571
46,0,0,-0.364724738,-0.428571429
47,0,0,-0.409391573,-0.285714286
48,0,0,-0.432308504,-0.142857143
49,0,0,-0.336355175,0
50,0,0,-0.245370081,0
51,0,0,-0.084872757,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,-0.142857143
86,0,0,0,-0.285714286
87,0,0,0,-0.428571429
88,0,0,-0.207692827,-0.571428571
89,0.313763959,0,-0.691178867,-0.714285714
90,0.680208819,0,-1.161242621,-0.857142857
91,1.162121773,0,-1.649859973,-1
92,1.292835644,0,-1.727842603,-0.857142857
93,1.214790617,0,-1.709201813,-0.714285714
94,1.040576049,0,-1.617945126,-0.571428571
95,0.944092069,0,-1.546303204,-0.428571429
96,0.742328167,0,-1.431725502,-0.285714286
97,0.637636048,0,-1.320334571,-0.142857143
98,0.396301508,0,-1.03750297,0
99,0.253450291,0,-0.864975793,0
100,0.02211036,0,-0.619997978,0
101,0,0,-0.419551679,0
102,0,0,-0.145638977,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,-0.153743403,0
119,0,0,-0.313018901,0
120,0,0,-0.368176801,0
121,0,0,-0.475702763,0
122,0,0,-0.487527575,0
123,0,0,-0.457661492,0
124,0,0,-0.375322819,0
125,0,0,-0.244548661,0
126,0,0,-0.121219873,0
127,0,0,-0.301952021,0
128,0,0,-0.500475373,0
129,0,0,-0.820145335,0
130,0,0,-1.224715097,0
131,0.220731906,0,-1.652661187,0
132,0.526422875,0,-2.075977189,-0.142857143
133,0.866643906,0,-2.517666408,-0.285714286
134,0.899775505,0,-2.611644472,-0.428571429
135,0.872562477,0,-2.597043719,-0.571428571
136,0.729127475,0,-2.416637421,-0.714285714
137,0.544940472,0,-2.139760426,-0.857142857
138,0.311870575,0,-1.861061369,-1
139,0.053351334,0,-1.554958207,-0.857142857
140,0,0,-1.197750092,-0.714285714
141,0,0,-0.864117827,-0.571428571
142,0,0,-0.633062158,-0.428571429
143,0,0,-0.436416353,-0.285714286
144,0,0,-0.369344269,-0.142857143
145,0,0,-0.369564772,0
146,0,0,-0.398426192,0
147,0,0,-0.525781938,0
148,0,0,-0.679584912,0
149,0,0,-0.788313798,0
150,0,0,-1.049700328,0
151,0,0,-1.187074116,0
152,0,0,-1.257450376,0
153,0,0,-1.369701249,0
154,0,0,-1.241973877,0
155,0,0,-1.133384432,0
156,0,0,-1.121891294,0
157,0,0,-0.765427658,0
158,0,0,-0.489685195,0
159,0,0,-0.106646265,0
160,0,0,0,0
161,0,0,0,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,-0.050358227,0
176,0,0,-0.129643236,0
177,0,0,-0.11761604,0
178,0,0,-0.081242153,0
179,0,0,-0.010119506,0
180,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,-0.248497009,0
188,0,0,-0.518073525,0
189,0,0,-0.705438682,0
190,0,0,-0.75027677,0
191,0,0,-0.835935116,0
192,0,0,-0.89189182,0
193,0,0,-0.943427018,0
194,0,0,-0.542799677,0
195,0,0,-0.289618186,0
196,0,0,-0.055002757,0
197,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
201,0,0,0,0
202,0,0,0,-0.142857143
203,0,0,0,-0.285714286
204,0,0,-0.238226107,-0.428571429
205,0,0,-0.504397494,-0.571428571
206,0,0,-0.641502108,-0.714285714
207,0,0,-0.739778519,-0.857142857
208,0,0,-0.882998058,-1
209,0,0,-0.809568678,-0.857142857
210,0,0,-0.918545178,-0.857142857
211,0,0,-0.877981595,-0.857142857
212,0,0,-0.877872876,-0.857142857
213,0.283534936,0,-1.075400489,-0.857142857
214,0.655429091,0,-1.353654861,-0.857142857
215,1.091649941,0,-1.66053227,-0.857142857
216,1.402130536,0,-1.87938336,-1
217,1.445036343,0,-1.749636786,-0.857142857
218,1.557822364,0,-1.721877779,-0.714285714
219,1.548658098,0,-1.659808568,-0.571428571
220,1.099353858,0,-1.260580335,-0.428571429
221,0.604604517,0,-0.767999377,-0.285714286
222,0.033776079,0,-0.215652806,-0.142857143
223,0,0,0,0
224,0,0,0,0
225,0,0,0,0
226,0,0,0,0
227,0,0,0,0
228,0,0,0,0
229,0,0,-0.030878748,0
230,0,0,-0.266915934,0
231,0,0,-0.540546928,0
232,0,0,-0.705132553,0
233,0,0,-0.840762411,0
234,0,0,-1.021321978,0
235,0.176760231,0,-1.154595784,0
236,0.351252283,0,-1.240860939,0
237,0.395923035,0,-1.223341942,0
238,0.354720763,0,-1.158491135,0
239,0.415971313,0,-1.157106944,0
240,0.605883053,0,-1.267421995,-0.142857143
241,0.602374145,0,-1.28038093,-0.285714286
242,0.539148978,0,-1.359938758,-0.428571429
243,0.477065563,0,-1.434712955,-0.571428571
244,0.389746087,0,-1.492360524,-0.714285714
245,0.301435096,0,-1.544805118,-0.857142857
246,0.205684492,0,-1.586234501,-1
247,0,0,-1.52129146,-0.857142857
248,0,0,-1.283070973,-0.714285714
249,0,0,-1.024656977,-0.571428571
250,0,0,-0.721901281,-0.428571429
251,0,0,-0.405917474,-0.285714286
252,0,0,-0.091218472,-0.142857143
253,0,0,0,0
254,0,0,0,0
255,0,0,0,0
256,0,0,0,0
257,0,0,0,0
258,0,0,0,0
259,0,0,0,0
260,0,0,0,0
261,0.157759632,0,0,0
262,0.346046073,0,0,0
263,0.346920729,0,0,0
264,0.285685437,0,0,0
265,0.20326863,0,0,0
266,0,0,0,0
267,0,0,0,0
268,0.088197163,0,0,0
269,0.319537027,0,0,0
270,0.667228631,0,0,0
271,0.998019832,0,-0.091338294,0
272,1.204843249,0,-0.302207811,0
273,1.431562696,0,-0.575679643,0
274,1.491693769,0,-0.866967746,0
275,1.251788821,0,-0.837088789,0
276,1.020545006,0,-0.809332371,0
277,0.856015137,0,-0.826234818,0
278,0.748836245,0,-0.908810002,0
279,0.484491655,0,-0.860114574,0
280,0.29370703,0,-0.834908826,0
281,0.208816903,0,-0.794584138,0
282,0.284450429,0,-0.888167518,0
283,0.457801104,0,-1.090385982,-0.142857143
284,0.609544073,0,-1.266251019,-0.285714286
285,0.829664503,0,-1.459072658,-0.428571429
286,1.191210066,0,-1.748573576,-0.571428571
287,1.493337086,0,-2.046353476,-0.714285714
288,1.777475902,0,-2.326792853,-0.857142857
289,1.932549068,0,-2.439237595,-1
